FULL_DATE,DAY,MONTH,YEAR,DAY_OF_YEAR,WEEK_OF_YEAR,WEEKDAY,IS_WEEKEND,QUARTER,IS_MONTH_START,IS_MONTH_END,IS_YEAR_START,IS_YEAR_END,IS_CAN_HOLIDAY,CAN_HOLIDAY_NAME,IS_US_HOLIDAY,US_HOLIDAY_NAME,DATE_PK
2015-01-02,2,1,2015,2,1,5,False,1,False,False,False,False,False,,False,,20150102
2015-01-03,3,1,2015,3,1,6,True,1,False,False,False,False,False,,False,,20150103
2015-01-04,4,1,2015,4,1,7,True,1,False,False,False,False,False,,False,,20150104
2015-01-05,5,1,2015,5,2,1,False,1,False,False,False,False,False,,False,,20150105
2015-01-06,6,1,2015,6,2,2,False,1,False,False,False,False,False,,False,,20150106
2015-01-07,7,1,2015,7,2,3,False,1,False,False,False,False,False,,False,,20150107
2015-01-08,8,1,2015,8,2,4,False,1,False,False,False,False,False,,False,,20150108
2015-01-09,9,1,2015,9,2,5,False,1,False,False,False,False,False,,False,,20150109
2015-01-10,10,1,2015,10,2,6,True,1,False,False,False,False,False,,False,,20150110
2015-01-11,11,1,2015,11,2,7,True,1,False,False,False,False,False,,False,,20150111
2015-01-12,12,1,2015,12,3,1,False,1,False,False,False,False,False,,False,,20150112
2015-01-13,13,1,2015,13,3,2,False,1,False,False,False,False,False,,False,,20150113
2015-01-14,14,1,2015,14,3,3,False,1,False,False,False,False,False,,False,,20150114
2015-01-15,15,1,2015,15,3,4,False,1,False,False,False,False,False,,False,,20150115
2015-01-16,16,1,2015,16,3,5,False,1,False,False,False,False,False,,False,,20150116
2015-01-17,17,1,2015,17,3,6,True,1,False,False,False,False,False,,False,,20150117
2015-01-18,18,1,2015,18,3,7,True,1,False,False,False,False,False,,False,,20150118
2015-01-19,19,1,2015,19,4,1,False,1,False,False,False,False,False,,True,"Martin Luther King, Jr. Day",20150119
2015-01-20,20,1,2015,20,4,2,False,1,False,False,False,False,False,,False,,20150120
2015-01-21,21,1,2015,21,4,3,False,1,False,False,False,False,False,,False,,20150121
2015-01-22,22,1,2015,22,4,4,False,1,False,False,False,False,False,,False,,20150122
2015-01-23,23,1,2015,23,4,5,False,1,False,False,False,False,False,,False,,20150123
2015-01-24,24,1,2015,24,4,6,True,1,False,False,False,False,False,,False,,20150124
2015-01-25,25,1,2015,25,4,7,True,1,False,False,False,False,False,,False,,20150125
2015-01-26,26,1,2015,26,5,1,False,1,False,False,False,False,False,,False,,20150126
2015-01-27,27,1,2015,27,5,2,False,1,False,False,False,False,False,,False,,20150127
2015-01-28,28,1,2015,28,5,3,False,1,False,False,False,False,False,,False,,20150128
2015-01-29,29,1,2015,29,5,4,False,1,False,False,False,False,False,,False,,20150129
2015-01-30,30,1,2015,30,5,5,False,1,False,False,False,False,False,,False,,20150130
2015-01-31,31,1,2015,31,5,6,True,1,False,True,False,False,False,,False,,20150131
2015-02-01,1,2,2015,32,5,7,True,1,True,False,False,False,False,,False,,20150201
2015-02-02,2,2,2015,33,6,1,False,1,False,False,False,False,False,,False,,20150202
2015-02-03,3,2,2015,34,6,2,False,1,False,False,False,False,False,,False,,20150203
2015-02-04,4,2,2015,35,6,3,False,1,False,False,False,False,False,,False,,20150204
2015-02-05,5,2,2015,36,6,4,False,1,False,False,False,False,False,,False,,20150205
2015-02-06,6,2,2015,37,6,5,False,1,False,False,False,False,False,,False,,20150206
2015-02-07,7,2,2015,38,6,6,True,1,False,False,False,False,False,,False,,20150207
2015-02-08,8,2,2015,39,6,7,True,1,False,False,False,False,False,,False,,20150208
2015-02-09,9,2,2015,40,7,1,False,1,False,False,False,False,False,,False,,20150209
2015-02-10,10,2,2015,41,7,2,False,1,False,False,False,False,False,,False,,20150210
2015-02-11,11,2,2015,42,7,3,False,1,False,False,False,False,False,,False,,20150211
2015-02-12,12,2,2015,43,7,4,False,1,False,False,False,False,False,,False,,20150212
2015-02-13,13,2,2015,44,7,5,False,1,False,False,False,False,False,,False,,20150213
2015-02-14,14,2,2015,45,7,6,True,1,False,False,False,False,False,,False,,20150214
2015-02-15,15,2,2015,46,7,7,True,1,False,False,False,False,False,,False,,20150215
2015-02-16,16,2,2015,47,8,1,False,1,False,False,False,False,True,Family Day,True,Washington's Birthday,20150216
2015-02-17,17,2,2015,48,8,2,False,1,False,False,False,False,False,,False,,20150217
2015-02-18,18,2,2015,49,8,3,False,1,False,False,False,False,False,,False,,20150218
2015-02-19,19,2,2015,50,8,4,False,1,False,False,False,False,False,,False,,20150219
2015-02-20,20,2,2015,51,8,5,False,1,False,False,False,False,False,,False,,20150220
2015-02-21,21,2,2015,52,8,6,True,1,False,False,False,False,False,,False,,20150221
