DATE,LOCATION,CITY,NAME,EVENT_PK
,,,No Event,1
2015-01-03,Rogers Arena,Vancouver,Vancouver Canucks VS Detroit Red Wings,2
2015-01-06,Rogers Arena,Vancouver,Vancouver Canucks VS New York Islanders,3
2015-01-08,Rogers Arena,Vancouver,Vancouver Canucks VS Florida Panthers,4
2015-01-10,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,5
2015-01-27,Rogers Arena,Vancouver,Vancouver Canucks VS Anaheim Ducks,6
2015-01-30,Rogers Arena,Vancouver,Vancouver Canucks VS Buffalo Sabres,7
2015-02-01,Rogers Arena,Vancouver,Vancouver Canucks VS Minnesota Wild,8
2015-02-03,Rogers Arena,Vancouver,Vancouver Canucks VS Winnipeg Jets,9
2015-02-05,Rogers Arena,Vancouver,Vancouver Canucks VS San Jose Sharks,10
2015-02-07,Rogers Arena,Vancouver,Vancouver Canucks VS Pittsburgh Penguins,11
2015-02-13,Rogers Arena,Vancouver,Vancouver Canucks VS Boston Bruins,12
2015-02-16,Rogers Arena,Vancouver,Vancouver Canucks VS Minnesota Wild,13
2015-03-01,Rogers Arena,Vancouver,Vancouver Canucks VS St. Louis Blues,14
2015-03-03,Rogers Arena,Vancouver,Vancouver Canucks VS San Jose Sharks,15
2015-03-09,Rogers Arena,Vancouver,Vancouver Canucks VS Anaheim Ducks,16
2015-03-12,Rogers Arena,Vancouver,Vancouver Canucks VS Los Angeles Kings,17
2015-03-14,Rogers Arena,Vancouver,Vancouver Canucks VS Toronto Maple Leafs,18
2015-03-17,Rogers Arena,Vancouver,Vancouver Canucks VS Philadelphia Flyers,19
2015-03-19,Rogers Arena,Vancouver,Vancouver Canucks VS Columbus Blue Jackets,20
2015-03-24,Rogers Arena,Vancouver,Vancouver Canucks VS Winnipeg Jets,21
2015-03-26,Rogers Arena,Vancouver,Vancouver Canucks VS Colorado Avalanche,22
2015-03-28,Rogers Arena,Vancouver,Vancouver Canucks VS Dallas Stars,23
2015-04-06,Rogers Arena,Vancouver,Vancouver Canucks VS Los Angeles Kings,24
2015-04-09,Rogers Arena,Vancouver,Vancouver Canucks VS Arizona Coyotes,25
2015-04-11,Rogers Arena,Vancouver,Vancouver Canucks VS Edmonton Oilers,26
2015-04-15,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,27
2015-04-17,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,28
2015-04-23,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,29
2015-09-21,The Q Centre,Vancouver,Vancouver Canucks VS San Jose Sharks,30
2015-09-22,Rogers Arena,Vancouver,Vancouver Canucks VS San Jose Sharks,31
2015-09-26,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,32
2015-09-28,Rogers Arena,Vancouver,Vancouver Canucks VS Arizona Coyotes,33
2015-10-03,Rogers Arena,Vancouver,Vancouver Canucks VS Edmonton Oilers,34
2015-10-10,Rogers Arena,Vancouver,Vancouver Canucks VS Calgary Flames,35
2015-10-16,Rogers Arena,Vancouver,Vancouver Canucks VS St. Louis Blues,36
2015-10-18,Rogers Arena,Vancouver,Vancouver Canucks VS Edmonton Oilers,37
2015-10-22,Rogers Arena,Vancouver,Vancouver Canucks VS Washington Capitals,38
2015-10-24,Rogers Arena,Vancouver,Vancouver Canucks VS Detroit Red Wings,39
2015-10-27,Rogers Arena,Vancouver,Vancouver Canucks VS Montréal Canadiens,40
2015-11-02,Rogers Arena,Vancouver,Vancouver Canucks VS Philadelphia Flyers,41
2015-11-04,Rogers Arena,Vancouver,Vancouver Canucks VS Pittsburgh Penguins,42
2015-11-21,Rogers Arena,Vancouver,Vancouver Canucks VS Chicago Blackhawks,43
2015-11-22,Rogers Arena,Vancouver,Vancouver Canucks VS New Jersey Devils,44
2015-12-03,Rogers Arena,Vancouver,Vancouver Canucks VS Dallas Stars,45
2015-12-05,Rogers Arena,Vancouver,Vancouver Canucks VS Boston Bruins,46
2015-12-07,Rogers Arena,Vancouver,Vancouver Canucks VS Buffalo Sabres,47
2015-12-09,Rogers Arena,Vancouver,Vancouver Canucks VS New York Rangers,48
